,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5%,0.9474,0.9674,0.9674,0.973,0.9674,0.9674,0.9674,0.9674,0.973,0.9674,0.9674,0.973,0.9674,0.9674,0.9674,0.9674,0.973,0.9674,0.9674,0.9674
10%,0.9677,0.9674,0.9674,0.9670000000000001,0.9782,0.9670000000000001,0.9782,0.9782,0.9727,0.9782,0.9782,0.9782,0.9727,0.9727,0.9727,0.9782,0.9727,0.9782,0.9782,0.9782
15%,0.9575,0.9674,0.9670000000000001,0.9727,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782
20%,0.9575,0.9674,0.9727,0.9727,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782,0.9782
25%,0.9677,0.9674,0.9670000000000001,0.9782,0.9782,0.9782,0.9782,0.9836,0.9727,0.9782,0.9782,0.9727,0.9782,0.9727,0.9782,0.9782,0.9782,0.9782,0.9727,0.9727
30%,0.9474,0.9674,0.9670000000000001,0.9782,0.9782,0.9727,0.9727,0.978,0.9727,0.9727,0.9727,0.9727,0.9727,0.9727,0.978,0.9727,0.9727,0.978,0.9727,0.978
35%,0.9625,0.9674,0.9670000000000001,0.9727,0.9782,0.9727,0.9727,0.9727,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.9834,0.9727,0.9727,0.978,0.9727
40%,0.9677,0.9674,0.9670000000000001,0.9782,0.9782,0.9727,0.9727,0.9834,0.9834,0.978,0.9834,0.9834,0.9834,0.9834,0.978,0.978,0.9834,0.9834,0.9834,0.978
45%,0.9677,0.9674,0.9670000000000001,0.9782,0.9782,0.978,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.978,0.9834,0.9834,0.9834,0.9834
50%,0.9677,0.9727,0.9670000000000001,0.9782,0.9727,0.978,0.9834,0.9834,0.9834,0.9834,0.978,0.9834,0.9834,0.9834,0.978,0.9834,0.9834,0.9834,0.9834,0.9834
55%,0.9677,0.9727,0.9670000000000001,0.9727,0.9727,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.978,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834
60%,0.9677,0.9727,0.9670000000000001,0.9782,0.9727,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834
65%,0.9677,0.9727,0.9670000000000001,0.9782,0.9727,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.978,0.9834,0.9834,0.9834,0.9834,0.978,0.9834,0.9834,0.9834
70%,0.9677,0.9727,0.9670000000000001,0.9782,0.9727,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.978,0.9834,0.9834,0.978,0.9834,0.978,0.9834,0.9834,0.9834
75%,0.9674,0.9727,0.9670000000000001,0.9727,0.9727,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9778,0.9834,0.9834,0.9778,0.9778,0.9778,0.9834,0.9834,0.9834
80%,0.9677,0.9727,0.9670000000000001,0.9727,0.978,0.9834,0.9834,0.9834,0.9834,0.9724,0.978,0.9724,0.9778,0.9778,0.9778,0.9778,0.9778,0.9724,0.9778,0.9778
85%,0.9677,0.9727,0.9727,0.9670000000000001,0.9727,0.9834,0.9834,0.9778,0.9778,0.9778,0.9778,0.9724,0.9724,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778
90%,0.9621,0.9727,0.9727,0.9670000000000001,0.9727,0.9834,0.9834,0.9834,0.9778,0.9724,0.9778,0.9778,0.9778,0.9724,0.9778,0.9724,0.9724,0.9724,0.9724,0.9724
95%,0.9727,0.9727,0.9670000000000001,0.9727,0.9727,0.9834,0.9834,0.9778,0.9778,0.9778,0.9724,0.9724,0.9724,0.9724,0.9778,0.9724,0.9778,0.9778,0.9778,0.9724
100%,0.9727,0.9727,0.9727,0.9670000000000001,0.9727,0.9834,0.9834,0.9778,0.9778,0.9724,0.9724,0.9724,0.9724,0.9724,0.9778,0.9724,0.9724,0.9778,0.9724,0.9724
