,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5%,0.9057,0.9473,0.9473,0.9528,0.9473,0.9473,0.9473,0.9473,0.9528,0.9473,0.9473,0.9528,0.9473,0.9473,0.9473,0.9473,0.9528,0.9473,0.9473,0.9473
10%,0.9434,0.9473,0.9473,0.9512,0.9623,0.9512,0.9623,0.9623,0.9567,0.9623,0.9623,0.9623,0.9567,0.9567,0.9567,0.9623,0.9567,0.9623,0.9623,0.9623
15%,0.9245,0.9473,0.9512,0.9567,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623
20%,0.9245,0.9473,0.9567,0.9567,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623,0.9623
25%,0.9434,0.9473,0.9512,0.9623,0.9623,0.9623,0.9623,0.9717,0.9567,0.9623,0.9623,0.9567,0.9623,0.9567,0.9623,0.9623,0.9623,0.9623,0.9567,0.9567
30%,0.9057,0.9473,0.9512,0.9623,0.9623,0.9567,0.9567,0.9661,0.9567,0.9567,0.9567,0.9567,0.9567,0.9567,0.9661,0.9567,0.9567,0.9661,0.9567,0.9661
35%,0.934,0.9473,0.9512,0.9567,0.9623,0.9567,0.9567,0.9567,0.9661,0.9661,0.9661,0.9661,0.9661,0.9661,0.9661,0.9756,0.9567,0.9567,0.9661,0.9567
40%,0.9434,0.9473,0.9512,0.9623,0.9623,0.9567,0.9567,0.9756,0.9756,0.9661,0.9756,0.9756,0.9756,0.9756,0.9661,0.9661,0.9756,0.9756,0.9756,0.9661
45%,0.9434,0.9473,0.9512,0.9623,0.9623,0.9661,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9661,0.9756,0.9756,0.9756,0.9756
50%,0.9434,0.9567,0.9512,0.9623,0.9567,0.9661,0.9756,0.9756,0.9756,0.9756,0.9661,0.9756,0.9756,0.9756,0.9661,0.9756,0.9756,0.9756,0.9756,0.9756
55%,0.9434,0.9567,0.9512,0.9567,0.9567,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9661,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756
60%,0.9434,0.9567,0.9512,0.9623,0.9567,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756
65%,0.9434,0.9567,0.9512,0.9623,0.9567,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9661,0.9756,0.9756,0.9756,0.9756,0.9661,0.9756,0.9756,0.9756
70%,0.9434,0.9567,0.9512,0.9623,0.9567,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9661,0.9756,0.9756,0.9661,0.9756,0.9661,0.9756,0.9756,0.9756
75%,0.9473,0.9567,0.9512,0.9567,0.9567,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.97,0.9756,0.9756,0.97,0.97,0.97,0.9756,0.9756,0.9756
80%,0.9434,0.9567,0.9512,0.9567,0.9661,0.9756,0.9756,0.9756,0.9756,0.9606,0.9661,0.9606,0.97,0.97,0.97,0.97,0.97,0.9606,0.97,0.97
85%,0.9434,0.9567,0.9567,0.9512,0.9567,0.9756,0.9756,0.97,0.97,0.97,0.97,0.9606,0.9606,0.97,0.97,0.97,0.97,0.97,0.97,0.97
90%,0.9378,0.9567,0.9567,0.9512,0.9567,0.9756,0.9756,0.9756,0.97,0.9606,0.97,0.97,0.97,0.9606,0.97,0.9606,0.9606,0.9606,0.9606,0.9606
95%,0.9567,0.9567,0.9512,0.9567,0.9567,0.9756,0.9756,0.97,0.97,0.97,0.9606,0.9606,0.9606,0.9606,0.97,0.9606,0.97,0.97,0.97,0.9606
100%,0.9567,0.9567,0.9567,0.9512,0.9567,0.9756,0.9756,0.97,0.97,0.9606,0.9606,0.9606,0.9606,0.9606,0.97,0.9606,0.9606,0.97,0.9606,0.9606
