,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
10%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
15%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
20%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
25%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
30%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
35%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
40%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
45%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
50%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
55%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
60%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
65%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
70%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
75%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
80%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
85%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
90%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
95%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
100%,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
