,model_name,train_test,test_split,total_records,n_trees,max_sample_percent,max_depth,true_positive,true_negative,false_positive,false_negative,true_positive_rate,true_negative_rate,false_positive_rate,false_negative_rate,accuracy,precision,recall,F1_score,ROC_area
0,RF_trees10000_sample0.25_depth8,Test,0.25,143,10000,0.25,8,90,50,3,0,0.6294,0.3497,0.021,0.0,0.6294,0.9677,1.0,0.9836,0.9717
1,RF_trees10000_sample0.1_depth5,Test,0.25,143,10000,0.1,5,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
2,RF_trees10000_sample0.1_depth7,Test,0.25,143,10000,0.1,7,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
3,RF_trees10000_sample0.1_depth8,Test,0.25,143,10000,0.1,8,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
4,RF_trees10000_sample0.1_depth10,Test,0.25,143,10000,0.1,10,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
5,RF_trees10000_sample0.1_depth11,Test,0.25,143,10000,0.1,11,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
6,RF_trees10000_sample0.1_depth12,Test,0.25,143,10000,0.1,12,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
7,RF_trees10000_sample0.1_depth16,Test,0.25,143,10000,0.1,16,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
8,RF_trees10000_sample0.1_depth18,Test,0.25,143,10000,0.1,18,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
9,RF_trees10000_sample0.1_depth19,Test,0.25,143,10000,0.1,19,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
10,RF_trees10000_sample0.1_depth20,Test,0.25,143,10000,0.1,20,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
11,RF_trees10000_sample0.15_depth5,Test,0.25,143,10000,0.15,5,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
12,RF_trees10000_sample0.15_depth6,Test,0.25,143,10000,0.15,6,90,49,4,0,0.6294,0.3427,0.027999999999999997,0.0,0.6294,0.9574,1.0,0.9782,0.9623
