,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5%,0.9,0.9468,0.9468,0.9474,0.9468,0.9468,0.9468,0.9468,0.9474,0.9468,0.9468,0.9474,0.9468,0.9468,0.9468,0.9468,0.9474,0.9468,0.9468,0.9468
10%,0.9375,0.9468,0.9468,0.9565,0.9574,0.9565,0.9574,0.9574,0.9570000000000001,0.9574,0.9574,0.9574,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9574,0.9570000000000001,0.9574,0.9574,0.9574
15%,0.9184,0.9468,0.9565,0.9570000000000001,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574
20%,0.9184,0.9468,0.9570000000000001,0.9570000000000001,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574,0.9574
25%,0.9375,0.9468,0.9565,0.9574,0.9574,0.9574,0.9574,0.9677,0.9570000000000001,0.9574,0.9574,0.9570000000000001,0.9574,0.9570000000000001,0.9574,0.9574,0.9574,0.9574,0.9570000000000001,0.9570000000000001
30%,0.9,0.9468,0.9565,0.9574,0.9574,0.9570000000000001,0.9570000000000001,0.9674,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9674,0.9570000000000001,0.9570000000000001,0.9674,0.9570000000000001,0.9674
35%,0.9278,0.9468,0.9565,0.9570000000000001,0.9574,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.9674,0.978,0.9570000000000001,0.9570000000000001,0.9674,0.9570000000000001
40%,0.9375,0.9468,0.9565,0.9574,0.9574,0.9570000000000001,0.9570000000000001,0.978,0.978,0.9674,0.978,0.978,0.978,0.978,0.9674,0.9674,0.978,0.978,0.978,0.9674
45%,0.9375,0.9468,0.9565,0.9574,0.9574,0.9674,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.9674,0.978,0.978,0.978,0.978
50%,0.9375,0.9570000000000001,0.9565,0.9574,0.9570000000000001,0.9674,0.978,0.978,0.978,0.978,0.9674,0.978,0.978,0.978,0.9674,0.978,0.978,0.978,0.978,0.978
55%,0.9375,0.9570000000000001,0.9565,0.9570000000000001,0.9570000000000001,0.978,0.978,0.978,0.978,0.978,0.978,0.9674,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978
60%,0.9375,0.9570000000000001,0.9565,0.9574,0.9570000000000001,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978
65%,0.9375,0.9570000000000001,0.9565,0.9574,0.9570000000000001,0.978,0.978,0.978,0.978,0.978,0.978,0.9674,0.978,0.978,0.978,0.978,0.9674,0.978,0.978,0.978
70%,0.9375,0.9570000000000001,0.9565,0.9574,0.9570000000000001,0.978,0.978,0.978,0.978,0.978,0.978,0.9674,0.978,0.978,0.9674,0.978,0.9674,0.978,0.978,0.978
75%,0.9468,0.9570000000000001,0.9565,0.9570000000000001,0.9570000000000001,0.978,0.978,0.978,0.978,0.978,0.978,0.9778,0.978,0.978,0.9778,0.9778,0.9778,0.978,0.978,0.978
80%,0.9375,0.9570000000000001,0.9565,0.9570000000000001,0.9674,0.978,0.978,0.978,0.978,0.9670000000000001,0.9674,0.9670000000000001,0.9778,0.9778,0.9778,0.9778,0.9778,0.9670000000000001,0.9778,0.9778
85%,0.9375,0.9570000000000001,0.9570000000000001,0.9565,0.9570000000000001,0.978,0.978,0.9778,0.9778,0.9778,0.9778,0.9670000000000001,0.9670000000000001,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778
90%,0.9368,0.9570000000000001,0.9570000000000001,0.9565,0.9570000000000001,0.978,0.978,0.978,0.9778,0.9670000000000001,0.9778,0.9778,0.9778,0.9670000000000001,0.9778,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9670000000000001
95%,0.9570000000000001,0.9570000000000001,0.9565,0.9570000000000001,0.9570000000000001,0.978,0.978,0.9778,0.9778,0.9778,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9778,0.9670000000000001,0.9778,0.9778,0.9778,0.9670000000000001
100%,0.9570000000000001,0.9570000000000001,0.9570000000000001,0.9565,0.9570000000000001,0.978,0.978,0.9778,0.9778,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9778,0.9670000000000001,0.9670000000000001,0.9778,0.9670000000000001,0.9670000000000001
