,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5%,1.0,0.9889,0.9889,1.0,0.9889,0.9889,0.9889,0.9889,1.0,0.9889,0.9889,1.0,0.9889,0.9889,0.9889,0.9889,1.0,0.9889,0.9889,0.9889
10%,1.0,0.9889,0.9889,0.9778,1.0,0.9778,1.0,1.0,0.9889,1.0,1.0,1.0,0.9889,0.9889,0.9889,1.0,0.9889,1.0,1.0,1.0
15%,1.0,0.9889,0.9778,0.9889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20%,1.0,0.9889,0.9889,0.9889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,1.0,0.9889,0.9778,1.0,1.0,1.0,1.0,1.0,0.9889,1.0,1.0,0.9889,1.0,0.9889,1.0,1.0,1.0,1.0,0.9889,0.9889
30%,1.0,0.9889,0.9778,1.0,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
35%,1.0,0.9889,0.9778,0.9889,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
40%,1.0,0.9889,0.9778,1.0,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
45%,1.0,0.9889,0.9778,1.0,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
50%,1.0,0.9889,0.9778,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
55%,1.0,0.9889,0.9778,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
60%,1.0,0.9889,0.9778,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
65%,1.0,0.9889,0.9778,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
70%,1.0,0.9889,0.9778,1.0,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889
75%,0.9889,0.9889,0.9778,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9778,0.9889,0.9889,0.9778,0.9778,0.9778,0.9889,0.9889,0.9889
80%,1.0,0.9889,0.9778,0.9889,0.9889,0.9889,0.9889,0.9889,0.9889,0.9778,0.9889,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778
85%,1.0,0.9889,0.9889,0.9778,0.9889,0.9889,0.9889,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778
90%,0.9889,0.9889,0.9889,0.9778,0.9889,0.9889,0.9889,0.9889,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778
95%,0.9889,0.9889,0.9778,0.9889,0.9889,0.9889,0.9889,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778
100%,0.9889,0.9889,0.9889,0.9778,0.9889,0.9889,0.9889,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778,0.9778
