,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5%,0.3007,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357,0.3357
10%,0.3287,0.3357,0.3357,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427
15%,0.3147,0.3357,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427
20%,0.3147,0.3357,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427
25%,0.3287,0.3357,0.3427,0.3427,0.3427,0.3427,0.3427,0.3497,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427
30%,0.3007,0.3357,0.3427,0.3427,0.3427,0.3427,0.3427,0.3497,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3497,0.3427,0.3427,0.3497,0.3427,0.3497
35%,0.3217,0.3357,0.3427,0.3427,0.3427,0.3427,0.3427,0.3427,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3566,0.3427,0.3427,0.3497,0.3427
40%,0.3287,0.3357,0.3427,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566,0.3566,0.3497,0.3497,0.3566,0.3566,0.3566,0.3497
45%,0.3287,0.3357,0.3427,0.3427,0.3427,0.3497,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566,0.3566
50%,0.3287,0.3427,0.3427,0.3427,0.3427,0.3497,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566,0.3566,0.3566
55%,0.3287,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566
60%,0.3287,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566
65%,0.3287,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566
70%,0.3287,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3497,0.3566,0.3497,0.3566,0.3566,0.3566
75%,0.3357,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566
80%,0.3287,0.3427,0.3427,0.3427,0.3497,0.3566,0.3566,0.3566,0.3566,0.3497,0.3497,0.3497,0.3566,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566
85%,0.3287,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3497,0.3497,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566,0.3566
90%,0.3287,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3497,0.3566,0.3566,0.3566,0.3497,0.3566,0.3497,0.3497,0.3497,0.3497,0.3497
95%,0.3427,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3566,0.3497,0.3497,0.3497,0.3497,0.3566,0.3497,0.3566,0.3566,0.3566,0.3497
100%,0.3427,0.3427,0.3427,0.3427,0.3427,0.3566,0.3566,0.3566,0.3566,0.3497,0.3497,0.3497,0.3497,0.3497,0.3566,0.3497,0.3497,0.3566,0.3497,0.3497
