,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5%,0.6294,0.6224,0.6224,0.6294,0.6224,0.6224,0.6224,0.6224,0.6294,0.6224,0.6224,0.6294,0.6224,0.6224,0.6224,0.6224,0.6294,0.6224,0.6224,0.6224
10%,0.6294,0.6224,0.6224,0.6154,0.6294,0.6154,0.6294,0.6294,0.6224,0.6294,0.6294,0.6294,0.6224,0.6224,0.6224,0.6294,0.6224,0.6294,0.6294,0.6294
15%,0.6294,0.6224,0.6154,0.6224,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
20%,0.6294,0.6224,0.6224,0.6224,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294,0.6294
25%,0.6294,0.6224,0.6154,0.6294,0.6294,0.6294,0.6294,0.6294,0.6224,0.6294,0.6294,0.6224,0.6294,0.6224,0.6294,0.6294,0.6294,0.6294,0.6224,0.6224
30%,0.6294,0.6224,0.6154,0.6294,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
35%,0.6294,0.6224,0.6154,0.6224,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
40%,0.6294,0.6224,0.6154,0.6294,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
45%,0.6294,0.6224,0.6154,0.6294,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
50%,0.6294,0.6224,0.6154,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
55%,0.6294,0.6224,0.6154,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
60%,0.6294,0.6224,0.6154,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
65%,0.6294,0.6224,0.6154,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
70%,0.6294,0.6224,0.6154,0.6294,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224
75%,0.6224,0.6224,0.6154,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6154,0.6224,0.6224,0.6154,0.6154,0.6154,0.6224,0.6224,0.6224
80%,0.6294,0.6224,0.6154,0.6224,0.6224,0.6224,0.6224,0.6224,0.6224,0.6154,0.6224,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154
85%,0.6294,0.6224,0.6224,0.6154,0.6224,0.6224,0.6224,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154
90%,0.6224,0.6224,0.6224,0.6154,0.6224,0.6224,0.6224,0.6224,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154
95%,0.6224,0.6224,0.6154,0.6224,0.6224,0.6224,0.6224,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154
100%,0.6224,0.6224,0.6224,0.6154,0.6224,0.6224,0.6224,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154,0.6154
